Types,Sizes,Times
j-naive,1000,11.225876367
j-naive,1000,11.119483808
j-naive,1000,11.104221231
j-naive,1000,11.105883554
j-naive,1000,11.113501593
j-naive,1292,24.538584819
j-naive,1292,24.458920326
j-naive,1292,24.413775721
j-naive,1292,24.466720207
j-naive,1292,24.423332985
j-naive,1668,54.493962515
j-naive,1668,54.255533476
j-naive,1668,55.670796353
j-naive,1668,54.540733987
j-naive,1668,54.38253794
j-naive,2154,124.7297717
j-naive,2154,125.374788753
j-naive,2154,127.169082123
j-naive,2154,126.07310991
j-naive,2154,126.637743833
j-naive,2500,211.633045466
j-naive,2500,214.029209771
j-naive,2500,212.526730416
j-naive,2500,211.629749119
j-naive,2500,212.707798486
j-better,1000,2.687643221
j-better,1000,2.615310464
j-better,1000,2.616057387
j-better,1000,2.6240378
j-better,1000,2.615731208
j-better,1292,5.633181917
j-better,1292,5.629827527
j-better,1292,5.62433069
j-better,1292,5.625384808
j-better,1292,5.707374696
j-better,1668,12.11455208
j-better,1668,12.093967559
j-better,1668,12.103321827
j-better,1668,12.107785358
j-better,1668,12.102215951
j-better,2154,26.042807231
j-better,2154,26.038421566
j-better,2154,26.034416975
j-better,2154,26.062670656
j-better,2154,26.033222011
j-better,2500,40.66537232
j-better,2500,40.76200124
j-better,2500,40.742410043
j-better,2500,40.71943874
j-better,2500,40.715377461
j-blas,1000,0.952066073
j-blas,1000,0.08948395
j-blas,1000,0.080847526
j-blas,1000,0.099477299
j-blas,1000,0.083036896
j-blas,1292,0.186534772
j-blas,1292,0.199193285
j-blas,1292,0.185831357
j-blas,1292,0.186389405
j-blas,1292,0.186096411
j-blas,1668,0.596833007
j-blas,1668,0.585488113
j-blas,1668,0.59455631
j-blas,1668,0.593930136
j-blas,1668,0.568840039
j-blas,2154,0.756595497
j-blas,2154,0.760339763
j-blas,2154,0.75834987
j-blas,2154,0.760138024
j-blas,2154,0.813728832
j-blas,2500,1.365645137
j-blas,2500,1.373443568
j-blas,2500,1.295799873
j-blas,2500,1.30608322
j-blas,2500,1.330996109
