dimensions,size,time_in_ms
1,10000,0.049
1,20000,0.077
1,50000,0.212
1,100000,0.342
1,220000,0.561
1,460000,1.051
1,1000000,2.262
1,2150000,4.597
1,4640000,9.682
1,10000000,20.634
2,1000,1.621
2,1292,2.690
2,1668,4.400
2,2154,7.272
2,2783,12.139
2,3594,20.178
2,4642,33.625
2,5995,55.996
2,7743,93.386
2,10000,155.844
